,County Name,County Number,Grad Rate,Opportunity Index
162,Montgomery County,170,96.92142857142856,1.5994006622076071
163,Moore County,171,98.5,2.4114954691741226
164,Morris County,172,98.30000000000001,2.1920834956672337
165,Motley County,173,100.0,2.4538363042767486
166,Nacogdoches County,174,96.56666666666668,0.3711780449956892
167,Navarro County,175,97.97142857142856,1.7520672399704256
168,Newton County,176,96.2,-0.40274203535850955
169,Nolan County,177,93.04,-3.6378812853479645
170,Nueces County,178,95.52857142857142,-0.6244109656553982
171,Ochiltree County,179,99.6,3.9259330785221564
172,Oldham County,180,98.0,1.0830598481714588
173,Orange County,181,94.64999999999999,-1.2628478400098402
174,Palo Pinto County,182,99.25,3.02691338376822
175,Panola County,183,97.01666666666667,0.7873727499850082
176,Parker County,184,97.3375,1.5640950849408846
177,Parmer County,185,97.65,1.425672099760689
178,Pecos County,186,97.56666666666666,0.9870051734456761
179,Polk County,187,99.2,2.711713337006588
180,Potter County,188,94.8125,-1.1270031318459512
181,Presidio County,189,98.1,1.7707735059797542
182,Rains County,190,88.4,-7.90120036519798
183,Randall County,191,98.66666666666667,3.015631156870905
184,Reagan County,192,96.0,-0.47247593064540183
185,Real County,193,83.35,-13.539961398537699
186,Red River County,194,99.275,2.8128348485744787
187,Reeves County,195,96.7,0.029766586902894687
188,Refugio County,196,95.46666666666665,-1.1995027433517294
189,Roberts County,197,100.0,2.966464594944327
190,Robertson County,198,99.24,2.7058603302508373
191,Rockwall County,199,99.425,4.056962254498973
192,Runnels County,200,97.09999999999998,0.7784366821591107
193,Rusk County,201,98.5,2.181554777707813
194,Sabine County,202,97.7,1.29189961797465
195,San Augustine County,203,100.0,3.604447723072994
196,San Jacinto County,204,91.69999999999999,-4.676495579196327
197,San Patricio County,205,96.28571428571429,0.1544494880266021
198,San Saba County,206,97.23333333333333,0.41699062692607924
199,Schleicher County,207,100.0,3.5840942608245996
200,Scurry County,208,96.53333333333335,0.33818662325593607
201,Shelby County,210,97.28,0.9712314270774272
202,Sherman County,211,91.7,-4.461990366404336
203,Smith County,212,97.61111111111113,1.9359593285668286
204,Somervell County,213,82.0,-14.262517642903752
205,Starr County,214,95.15,-1.7431464406794284
206,Stephens County,215,93.5,-2.5447483487616154
207,Sterling County,216,100.0,3.91400579205569
208,Stonewall County,217,100.0,3.8925697868270532
209,Sutton County,218,100.0,3.871503721185533
210,Swisher County,219,98.3,1.9936101469496588
211,Tarrant County,220,94.94927536231887,-0.8436874753451623
212,Taylor County,221,99.03333333333333,3.1521729700633196
213,Terrell County,222,100.0,3.085950911213672
214,Terry County,223,97.475,0.9520821536594681
215,Throckmorton County,224,100.0,3.2970257832793024
216,Titus County,225,98.44999999999999,2.149810987778018
217,Tom Green County,226,97.575,1.5794563083396955
218,Travis County,227,96.90000000000002,1.4864892263690972
219,Trinity County,228,98.175,1.4878128051732524
220,Tyler County,229,96.66,0.23840669669716305
221,Upshur County,230,98.61428571428573,2.2505289724864377
222,Upton County,231,96.9,-0.2742953388370495
223,Uvalde County,232,97.475,1.0186596257105265
224,Val Verde County,233,95.6,-0.9234972859088586
225,Van Zandt County,234,95.075,-1.174562409248594
226,Victoria County,235,90.725,-5.288492021400064
227,Walker County,236,84.39999999999999,-12.301790384681087
228,Waller County,237,94.33333333333333,-1.8656751186917642
229,Ward County,238,94.2,-1.716716685974338
230,Washington County,239,98.4,2.521790889499279
231,Webb County,240,97.5909090909091,1.0101626488825455
232,Wharton County,241,99.35999999999999,3.265807310957328
233,Wheeler County,242,97.9,0.6644047379016378
234,Wichita County,243,96.6,0.5171338394172516
235,Wilbarger County,244,98.43333333333334,2.135320315292541
236,Willacy County,245,95.24,-1.6805108440307435
237,Williamson County,246,97.08333333333337,1.3233341104834988
238,Wilson County,247,97.95,1.9296131932832594
239,Winkler County,248,100.0,3.6135161748742206
240,Wise County,249,97.84285714285714,1.7594156966797894
241,Wood County,250,97.33333333333333,1.1241434263752481
242,Yoakum County,251,98.95,2.358780525574666
243,Young County,252,97.45,1.5888399061852354
244,Zapata County,253,93.7,-3.003303785631914
245,Zavala County,254,97.95,1.0417888088635507
